ID,Treatment,Sex,Population,MCINXTMP_015706,MCINXTMP_013226,MCINXTMP_013649,MCINXTMP_011911,MCINXTMP_008839,MCINXTMP_002957,MCINXTMP_005765,MCINXTMP_005882,MCINXTMP_008560,MCINXTMP_001012,MCINXTMP_003068,MCINXTMP_011662,MCINXTMP_005526,MCINXTMP_013320,MCINXTMP_000554,MCINXTMP_011576,MCINXTMP_013272,MCINXTMP_001679,MCINXTMP_007636,MCINXTMP_003690,MCINXTMP_003458,MCINXTMP_002038,MCINXTMP_007341,MCINXTMP_011939,MCINXTMP_005553,MCINXTMP_010227,MCINXTMP_007822,MCINXTMP_012643,MCINXTMP_008817,MCINXTMP_009372,MCINXTMP_012093,MCINXTMP_000102,MCINXTMP_011030,MCINXTMP_001818,MCINXTMP_014090,MCINXTMP_008457,MCINXTMP_007672,MCINXTMP_004099,MCINXTMP_007295,MCINXTMP_000022,MCINXTMP_015213,MCINXTMP_003108,MCINXTMP_010509,MCINXTMP_013625,MCINXTMP_005845,MCINXTMP_009277,MCINXTMP_012616,MCINXTMP_000503,MCINXTMP_011176,MCINXTMP_001509
AF11_104,Flight1h,Female,AL,11.548,18.531,0.806,1.88,15.04,45.925,2.686,109.308,0.537,26.857,14.503,76.274,2.417,10.743,82.451,11.548,128.108,3.491,5.64,0,5.909,14.234,0.537,6.177,1.074,8.057,0.806,30.348,4.297,13.16,1.074,67.948,2.149,1.611,2.149,11.548,800.873,18.8,20.948,782.342,3367.052,6.177,52.64,12.891,5.371,4.297,20.143,0.537,1.074,1.611
AF11_10770,Flight20h,Female,AL,6.879,17.335,0.55,0,29.166,20.361,3.577,149.958,0.825,87.774,14.308,19.261,3.577,7.704,41.823,4.953,86.673,0.55,3.577,0.825,12.107,13.207,2.476,1.926,2.201,20.912,0.825,25.314,5.228,179.675,0.275,211.042,4.402,0,3.302,4.127,542.327,30.267,33.569,418.508,713.472,5.228,27.515,17.059,18.986,4.402,64.386,2.752,1.926,1.651
AF11_13001,Control1h,Female,AL,6.363,43.326,1.818,0,8.029,46.356,5.151,56.96,1.969,24.693,11.513,65.14,0.151,6.514,38.024,14.694,55.142,9.241,14.391,0,4.545,20.3,0.303,4.696,0,36.963,1.969,11.059,4.09,19.542,7.574,49.234,6.514,0.303,2.121,19.239,883.938,39.993,11.059,281.466,1380.064,17.573,12.119,8.938,18.936,13.028,26.359,9.998,0.303,6.968
AF11_16376,Flight20h,Female,AL,6.687,7.489,4.012,17.386,12.571,34.505,2.14,133.472,4.547,51.088,6.954,61.52,1.07,10.164,29.958,0,155.137,5.082,10.699,0,0.802,4.547,0.267,4.012,0.267,21.131,8.827,16.584,5.082,39.319,2.407,148.985,0,0.267,2.14,18.189,218.262,19.258,54.566,314.02,1354.778,3.745,70.614,23.806,6.419,2.14,62.055,1.07,4.815,1.605
AF11_16875,Flight1h,Female,AL,12.419,7.066,3.854,1.285,23.126,31.263,2.141,137.684,0.642,19.271,15.845,46.037,0.857,7.066,19.486,0,190.145,12.205,11.135,6.21,7.494,11.991,0.857,8.351,7.494,4.283,1.927,15.417,12.848,10.492,6.638,109.633,0.857,1.499,12.205,9.207,336.179,13.276,20.128,550.092,1400.604,6.638,43.04,12.848,15.203,2.784,7.923,5.139,2.998,1.285
AF11_1884,Control20h,Female,AL,6.211,29.761,2.847,6.987,33.125,33.642,1.553,110.761,1.812,42.7,16.304,46.841,2.329,5.176,17.856,1.035,42.441,4.399,5.693,0.259,8.281,12.422,1.553,4.141,8.799,18.891,5.176,24.585,0.518,35.195,3.105,58.745,1.035,1.553,2.329,22.773,562.604,26.655,29.502,1147.205,622.384,15.786,21.997,4.141,11.904,1.035,29.243,0,3.623,0.518
AF11_1890,Control1h,Female,AL,16.627,31.456,1.797,17.076,28.535,36.848,1.573,45.611,2.472,22.468,28.085,75.943,1.573,6.516,56.62,14.38,65.383,9.212,5.168,0.449,5.842,16.851,3.146,6.291,5.842,11.009,1.348,25.838,0.225,33.478,0.449,40.218,1.797,2.472,2.022,17.525,770.212,17.301,19.772,438.131,2900.652,11.234,62.911,31.006,14.38,6.516,37.297,0.449,0.225,2.921
AF11_19682,Flight20h,Female,AL,8.732,12.613,1.698,0,7.277,55.787,1.213,118.122,0.243,29.106,8.732,103.084,1.213,4.851,86.105,0,170.271,2.668,24.983,1.94,11.885,15.038,0.485,6.306,5.821,17.949,4.608,7.762,1.455,33.229,0.97,190.887,0.97,0.485,1.213,18.434,538.462,28.378,38.808,461.331,2235.346,8.974,55.059,30.319,5.579,6.306,11.642,1.698,10.187,3.638
AF11_19683,Flight1h,Female,AL,5.498,16.016,0.239,1.195,28.446,41.115,0.956,106.373,2.39,12.43,14.82,69.8,7.171,7.41,36.812,0,266.529,12.669,11.713,1.434,4.542,16.016,0.478,8.605,1.195,3.108,2.868,11.952,1.912,18.406,4.064,141.272,2.868,5.259,5.02,6.693,538.796,32.987,13.386,508.437,1221.015,8.605,66.453,21.514,8.127,5.737,20.079,2.151,4.303,0.956
AF11_3009,Control20h,Female,AL,18.3,42.118,4.844,56.65,20.05,55.305,2.557,66.877,3.633,41.848,18.435,63.109,3.364,11.303,8.074,15.34,99.171,6.055,9.958,1.346,3.364,10.361,4.844,9.823,14.936,16.82,2.691,22.741,0.942,18.839,9.016,71.99,1.48,2.422,0.942,5.652,709.809,34.044,29.873,476.346,1775.666,7.401,29.469,9.688,10.361,6.997,54.228,3.229,5.382,2.018
AF11_3228,Flight20h,Female,AL,1.161,9.869,0.29,0,12.771,42.668,3.483,272.26,2.903,58.051,12.481,68.791,7.256,3.773,43.248,8.998,148.901,2.032,13.061,0,0,9.288,1.161,2.612,0,5.515,0.871,28.735,0.29,6.095,0.581,59.212,0.581,0,7.547,19.157,444.381,66.468,7.256,675.424,1917.427,1.451,36.282,11.9,6.095,4.064,50.214,3.483,0.581,12.771
AF11_3372,Flight20h,Female,AL,9.809,54.048,0.2,1.201,25.623,52.846,3.603,104.692,2.202,72.464,14.413,21.018,4.204,3.203,33.229,0,82.272,4.404,1.201,0,6.005,9.208,0.801,7.807,17.215,20.018,0.4,27.224,0.2,97.085,2.602,69.461,0.801,1.802,2.402,7.206,741.052,43.038,35.031,202.778,763.872,6.205,52.046,10.409,17.816,8.608,102.29,4.404,2.402,2.402
AF11_4728,Flight20h,Female,AL,7.62,8.89,2.286,6.604,19.304,43.688,1.27,190.248,2.032,71.121,15.24,19.558,2.286,1.016,32.258,0,53.849,6.35,4.064,0,6.858,4.064,0,1.778,1.016,13.208,0,6.096,8.382,81.789,1.524,131.065,0.762,0,2.794,11.684,579.379,39.878,48.768,1104.91,2084.852,7.112,32.004,19.304,11.938,8.128,74.169,1.27,1.778,0
AF11_5917,Control1h,Female,AL,12.651,55.092,2.04,14.691,20.812,49.378,1.02,124.874,2.653,27.546,17.956,68.762,1.428,8.57,98.553,0,36.116,4.285,3.265,0.408,20.2,10.202,4.897,4.489,0,22.241,1.836,13.875,21.629,28.974,0.612,36.524,2.449,2.04,2.449,15.099,1404.63,29.79,15.507,536.632,1477.269,14.487,26.322,12.039,6.325,12.651,47.542,3.061,2.04,1.632
