Sort,Year,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
46,2003,Virginia,19439,263.2,13,33,9066,122.7,13,15,82,1.1,19,20
47,2003,Washington,16797,273.9,18,29,2753,44.9,30,39,82,1.3,20,19
48,2003,West Virginia,2585,142.8,43,49,847,46.8,40,37,2,0.1,41,28
49,2003,Wisconsin,17942,327.9,15,14,5663,103.5,21,20,16,0.3,34,26
50,2003,Wyoming,960,191.5,50,42,46,9.2,50,48,0,0,43,
1,2004,Alabama,13314,295.8,24,28,8206,182.3,17,4,165,3.7,11,9
2,2004,Alaska,3954,609.4,38,2,567,87.4,42,26,8,1.2,33,29
3,2004,Arizona,16786,300.8,22,25,4065,72.8,24,31,157,2.8,12,11
4,2004,Arkansas,7864,288.5,31,31,4137,151.8,23,11,47,1.7,23,24
5,2004,California,122197,344.4,1,16,30155,85,1,27,1356,3.8,1,6
6,2004,Colorado,14151,311,23,21,3054,67.1,27,33,63,1.4,20,27
7,2004,Connecticut,9552,274.2,28,36,2862,82.2,29,28,45,1.3,24,28
8,2004,Delaware,2954,361.3,41,13,894,109.4,38,19,9,1.1,32,31
9,2004,Florida,42554,250,5,37,18580,109.2,6,20,728,4.3,3,5
10,2004,Georgia,34280,394.7,9,8,15783,181.7,8,5,549,6.3,5,3
11,2004,Hawaii,5307,422,36,6,1193,94.9,36,22,8,0.6,33,37
12,2004,Idaho,2784,203.8,42,43,103,7.5,47,50,24,1.8,30,22
13,2004,Illinois,47185,372.9,4,11,20597,162.8,3,9,386,3.1,6,10
14,2004,Indiana,18440,297.6,18,27,6851,110.6,19,17,60,1,21,32
15,2004,Iowa,6956,236.3,33,39,1249,42.4,35,40,5,0.2,35,45
16,2004,Kansas,7493,275.1,32,35,2542,93.3,32,23,24,0.9,30,34
17,2004,Kentucky,6470,157.1,35,48,2758,67,31,34,47,1.1,23,30
18,2004,Louisiana,21837,485.7,12,3,10538,234.4,11,2,332,7.4,8,1
19,2004,Maine,2113,161.8,46,47,210,16.1,44,45,2,0.2,38,48
20,2004,Maryland,19952,362.2,15,12,8297,150.6,16,12,380,6.9,7,2
21,2004,Massachusetts,13242,205.8,25,42,3057,47.5,26,38,114,1.8,17,21
22,2004,Michigan,41246,409.2,6,7,17376,172.4,7,8,192,1.9,10,19
23,2004,Minnesota,11602,229.3,26,40,2957,58.4,28,36,27,0.5,27,40
24,2004,Mississippi,18863,654.7,17,1,7163,248.6,18,1,59,2,22,18
25,2004,Missouri,21319,373.7,14,10,9218,161.6,12,10,94,1.6,18,25
26,2004,Montana,2608,284.2,44,34,88,9.6,48,49,4,0.4,36,42
27,2004,Nebraska,5238,301.2,37,24,1147,65.9,37,35,7,0.4,34,43
28,2004,Nevada,6690,298.5,34,26,3078,137.3,25,14,40,1.8,25,20
29,2004,New Hampshire,1736,134.8,48,50,133,10.3,45,48,5,0.4,35,44
30,2004,New Jersey,17448,202,21,44,6696,77.5,20,29,150,1.7,13,23
31,2004,New Mexico,9035,482,29,4,1306,69.7,33,32,82,4.4,19,4
32,2004,New York,59097,308,3,22,18737,97.6,5,21,727,3.8,4,7
33,2004,North Carolina,28967,344.5,10,15,15194,180.7,9,6,192,2.3,10,15
34,2004,North Dakota,1810,285.6,47,33,110,17.4,46,44,0,0,40,
35,2004,Ohio,39379,344.3,7,17,20467,179,4,7,237,2.1,9,17
36,2004,Oklahoma,10366,295.2,27,29,4453,126.8,22,15,25,0.7,29,36
37,2004,Oregon,8690,244.1,30,38,1302,36.6,34,42,29,0.8,26,35
38,2004,Pennsylvania,38025,307.5,8,23,11236,90.9,10,25,118,1,15,33
39,2004,Rhode Island,3442,319.8,40,19,816,75.8,40,30,26,2.4,28,14
40,2004,South Carolina,18423,444.2,19,5,9171,221.1,13,3,116,2.8,16,12
41,2004,South Dakota,2532,331.3,45,18,304,39.8,43,41,0,0,40,
42,2004,Tennessee,22515,385.4,11,9,8475,145.1,15,13,130,2.2,14,16
43,2004,Texas,70232,317.5,2,20,24371,110.2,2,18,827,3.7,2,8
44,2004,Utah,3857,164,39,46,603,25.6,41,43,13,0.6,31,39
45,2004,Vermont,1137,183.6,49,45,86,13.9,49,46,1,0.2,39,47
46,2004,Virginia,21635,292.9,13,30,8565,116,14,16,116,1.6,16,26
47,2004,Washington,17635,287.6,20,32,2810,45.8,30,39,150,2.4,13,13
48,2004,West Virginia,2758,152.3,43,49,892,49.3,39,37,3,0.2,37,46
49,2004,Wisconsin,19217,351.2,16,14,5053,92.3,21,24,29,0.5,26,41
50,2004,Wyoming,1082,215.9,50,41,59,11.8,50,47,3,0.6,37,38
1,2005,Alabama,17109,377.7,23,15,9406,207.6,13,3,169,3.7,14,9
2,2005,Alaska,4355,664.4,39,2,600,91.5,41,25,9,1.4,38,28
3,2005,Arizona,21264,370.2,15,17,4951,86.2,23,27,175,3,13,13
4,2005,Arkansas,8507,309.1,30,28,4476,162.6,24,10,52,1.9,27,21
5,2005,California,130716,364.2,1,19,34338,95.7,1,22,1585,4.4,1,5
6,2005,Colorado,15432,335.4,24,21,3224,70.1,27,32,46,1,29,36
7,2005,Connecticut,11039,315.1,28,26,2750,78.5,30,30,58,1.7,25,24
8,2005,Delaware,3392,408.5,40,6,913,110,38,20,11,1.3,36,30
9,2005,Florida,43372,249.3,6,39,20225,116.3,4,17,724,4.2,3,6
10,2005,Georgia,33562,380.1,9,14,15860,179.6,8,6,645,7.3,5,1
11,2005,Hawaii,5489,434.7,36,5,1024,81.1,37,29,11,0.9,36,38
