Line,WellC,PLATE,RIL,Treat,Lipid.per.Fly
193DR,E3,THETA 1,193,DR,0.778822345
193DR,E8,THETA 1,193,DR,1.041801473
193HS,E1,THETA 1,193,HS,2.41931119
193HS,E6,THETA 1,193,HS,0.997971618
195C,B2,LAMBDA2,195,C,0.997971618
195C,B7,LAMBDA2,195,C,0.922834724
195DR,C2,LAMBDA2,195,DR,1.755601963
195DR,C7,LAMBDA2,195,DR,2.006058275
195HS,A2,LAMBDA2,195,HS,1.530191282
195HS,A7,LAMBDA2,195,HS,1.680465069
198C,B3,EPSILON 2,198,C,1.517668466
198C,B8,EPSILON 2,198,C,1.054324288
198DR,B4,EPSILON 2,198,DR,0.929096132
198DR,B9,EPSILON 2,198,DR,1.160768221
198HS,B2,EPSILON 2,198,HS,0.947880356
198HS,B7,EPSILON 2,198,HS,1.035540065
202C,B4,LAMBDA1,202,C,0.93535754
202C,B9,LAMBDA1,202,C,1.918398566
202DR,G5,LAMBDA1,202,DR,1.699249292
202DR,G10,LAMBDA1,202,DR,0.647332781
202HS,B5,LAMBDA1,202,HS,1.029278657
202HS,B10,LAMBDA1,202,HS,0.578457295
203HS,C5,ALPHA 1,203,HS,2.081195169
203HS,A3,BETA 1,203,HS,1.311042008
208C,A4,IOTA 1,208,C,0.540888848
208C,A9,IOTA 1,208,C,1.280938858
208DR,A5,IOTA 1,208,DR,0.877078054
208DR,A10,IOTA 1,208,DR,1.511407058
208HS,A3,IOTA 1,208,HS,0.847697831
208HS,A8,IOTA 1,208,HS,0.716208267
209C,C4,LAMBDA1,209,C,0.653594189
209C,C9,LAMBDA1,209,C,0.390615061
209DR,G1,LAMBDA2,209,DR,2.04988813
209DR,G6,LAMBDA2,209,DR,1.242166523
209HS,C5,LAMBDA1,209,HS,0.803867976
209HS,C10,LAMBDA1,209,HS,1.311042008
210C,B1,LAMBDA2,210,C,0.972925987
210C,B6,LAMBDA2,210,C,0.540888848
210DR,C1,LAMBDA2,210,DR,0.540888848
210DR,C6,LAMBDA2,210,DR,0.603502926
214C,D4,LAMBDA1,214,C,0.64107137300000006
214C,D9,LAMBDA1,214,C,0.985448802
214DR,H4,LAMBDA1,214,DR,0.891527685
214DR,H9,LAMBDA1,214,DR,1.373656087
214HS,D5,LAMBDA1,214,HS,0.428183508
214HS,D10,LAMBDA1,214,HS,0.666117004
217C,E5,THETA 1,217,C,0.816390792
217C,E10,THETA 1,217,C,1.098154143
217DR,E1,THETA 2,217,DR,0.384353653
217DR,E6,THETA 2,217,DR,0.046237631
217HS,E4,THETA 1,217,HS,0.565934479
217HS,E9,THETA 1,217,HS,0.997971618
218C,F1,ZETA 1,218,C,1.574021136
218C,F6,ZETA 1,218,C,1.743079147
218DR,F3,ZETA 1,218,DR,0.659855596
218DR,F8,ZETA 1,218,DR,0.708020043
218HS,F2,ZETA 1,218,HS,0.929096132
218HS,F7,ZETA 1,218,HS,1.580282544
260HS,H1,IOTA 2,260,HS,0.933430724
260HS,H6,IOTA 2,260,HS,1.091892735
261C,G1,ZETA 1,261,C,1.317303416
261C,G6,ZETA 1,261,C,0.726804267
261DR,G3,ZETA 1,261,DR,1.036743953
261DR,G8,ZETA 1,261,DR,0.33426239
261HS,G2,ZETA 1,261,HS,0.440706323
261HS,G7,ZETA 1,261,HS,0.924038613
269C,H2,IOTA 1,269,C,0.910311909
269C,H7,IOTA 1,269,C,0.916573317
271DR,F5,DELTA 1,271,DR,0.265386905
271DR,F10,DELTA 1,271,DR,0.62228715
277HS,F2,DELTA 1,277,HS,1.07936992
277HS,F7,DELTA 1,277,HS,1.260950746
281DR,H1,IOTA 1,281,DR,0.378092245
281DR,H6,IOTA 1,281,DR,0.490797586
287HS,G1,IOTA 2,287,HS,1.379917494
287HS,G6,IOTA 2,287,HS,1.036743953
28C,G8,PLATE1,28,C,1.50514565
28C,NA,PLATE1,28,C,1.84952308
28DR,G9,PLATE1,28,DR,0.858293831
28DR,NA,PLATE1,28,DR,0.661059485
28HS,G7,PLATE1,28,HS,0.572195887
28HS,NA,PLATE1,28,HS,0.778822345
293C,G5,IOTA 2,293,C,0.659855596
293C,G10,IOTA 2,293,C,1.016755841
295HS,E1,DELTA 1,295,HS,1.055528177
295HS,E6,DELTA 1,295,HS,1.260950746
299C,H3,DELTA 1,299,C,0.647332781
299C,H8,DELTA 1,299,C,0.559673072
29C,H1,PLATE1,29,C,0.736196378
29C,NA,PLATE1,29,C,0.736196378
29DR,H2,PLATE1,29,DR,0.684901228
29DR,NA,PLATE1,29,DR,0.497058993
304DR,A1,DELTA 1,304,DR,1.023017249
304DR,A6,DELTA 1,304,DR,0.785083753
304HS,D4,DELTA 1,304,HS,1.160768221
304HS,D9,DELTA 1,304,HS,1.699249292
305C,G5,DELTA 1,305,C,0.922834724
305C,G10,DELTA 1,305,C,0.616025742
30C,H4,PLATE1,30,C,1.13572259
30C,NA,PLATE1,30,C,1.235905115
30DR,H5,PLATE1,30,DR,0.703685451
30DR,NA,PLATE1,30,DR,1.004233026
30HS,H3,PLATE1,30,HS,0.997971618
30HS,NA,PLATE1,30,HS,1.267212154
315C,B4,DELTA 1,315,C,0.691162635
315C,B9,DELTA 1,315,C,1.354871863
319C,A2,DELTA 1,319,C,1.636635214
319C,A7,DELTA 1,319,C,1.981012644
319DR,C4,DELTA 1,319,DR,1.311042008
319DR,C9,DELTA 1,319,DR,1.242166523
319HS,G4,DELTA 1,319,HS,1.091892735
319HS,G9,DELTA 1,319,HS,1.210859484
322C,C2,IOTA 1,322,C,2.081195169
322C,C7,IOTA 1,322,C,1.84952308
322DR,C3,IOTA 1,322,DR,1.937182789
322DR,C8,IOTA 1,322,DR,2.125025023
322HS,C1,IOTA 1,322,HS,2.594630609
322HS,C6,IOTA 1,322,HS,1.580282544
324C,C5,IOTA 1,324,C,1.342349047
324C,C10,IOTA 1,324,C,2.125025023
324DR,C1,IOTA 2,324,DR,1.498884243
324DR,C6,IOTA 2,324,DR,1.229643707
324HS,C4,IOTA 1,324,HS,1.098154143
324HS,C9,IOTA 1,324,HS,1.173291037
332C,F5,IOTA 1,332,C,1.023017249
332C,F10,IOTA 1,332,C,1.96222842
332DR,F1,IOTA 2,332,DR,1.07936992
332DR,F6,IOTA 2,332,DR,1.780647594
332HS,F4,IOTA 1,332,HS,1.630373807
332HS,F9,IOTA 1,332,HS,1.173291037
335C,C3,IOTA 2,335,C,0.979187395
335C,C8,IOTA 2,335,C,2.294083034
335DR,C4,IOTA 2,335,DR,2.425572598
335DR,C9,IOTA 2,335,DR,1.711772108
338C,D1,IOTA 1,338,C,1.899614342
338C,D6,IOTA 1,338,C,1.548975505
338DR,D2,IOTA 1,338,DR,1.768124778
338DR,D7,IOTA 1,338,DR,1.999796867
339C,B3,DELTA 1,339,C,2.037365314
339C,B8,DELTA 1,339,C,2.394265559
345C,H4,IOTA 2,345,C,1.786909002
345C,H9,IOTA 2,345,C,0.916573317
345DR,H5,IOTA 2,345,DR,0.87900487
345DR,H10,IOTA 2,345,DR,1.624112399
345HS,H3,IOTA 2,345,HS,1.173291037
345HS,H8,IOTA 2,345,HS,1.210859484
347C,D4,IOTA 1,347,C,1.185813852
347C,D9,IOTA 1,347,C,2.632199056
347DR,D5,IOTA 1,347,DR,2.074933761
347DR,D10,IOTA 1,347,DR,1.930921381
347HS,D3,IOTA 1,347,HS,1.548975505
347HS,D8,IOTA 1,347,HS,1.035540065
348C,D2,IOTA 2,348,C,0.565934479
348C,D7,IOTA 2,348,C,1.692987885
348DR,D3,IOTA 2,348,DR,2.225207548
348DR,D8,IOTA 2,348,DR,1.968489828
351C,D5,IOTA 2,351,C,0.997971618
351C,D10,IOTA 2,351,C,1.455054388
351DR,E1,IOTA 1,351,DR,2.212684733
351DR,E6,IOTA 1,351,DR,0.941618948
351HS,D4,IOTA 2,351,HS,2.406788375
351HS,D9,IOTA 2,351,HS,0.872743462
354C,E2,LAMBDA2,354,C,1.13572259
354C,E7,LAMBDA2,354,C,1.185813852
354DR,F2,LAMBDA2,354,DR,1.329826232
354DR,F7,LAMBDA2,354,DR,1.204598076
